"","Cluster"
"Tb11.v5.0402","1"
"Tb11.v5.1046","2"
"Tb927.1.2360","3"
"Tb927.1.3200","2"
"Tb927.1.580","4"
"Tb927.1.600","4"
"Tb927.10.11390","5"
"Tb927.10.12080","2"
"Tb927.10.13500","6"
"Tb927.10.15120","3"
"Tb927.10.4110","6"
"Tb927.10.4120","3"
"Tb927.10.5460","7"
"Tb927.10.5610","5"
"Tb927.10.7410","8"
"Tb927.10.8940","9"
"Tb927.11.10025","3"
"Tb927.11.10160","3"
"Tb927.11.11360","6"
"Tb927.11.11830","8"
"Tb927.11.13007","6"
"Tb927.11.13780","9"
"Tb927.11.16280","8"
"Tb927.11.3000","10"
"Tb927.11.3030","2"
"Tb927.11.3230","5"
"Tb927.11.4300","8"
"Tb927.11.5960","4"
"Tb927.11.6200","9"
"Tb927.11.6500","8"
"Tb927.11.7685","9"
"Tb927.11.7900","2"
"Tb927.11.9700","3"
"Tb927.11.9730","8"
"Tb927.2.480","2"
"Tb927.3.5050","5"
"Tb927.4.1100","9"
"Tb927.4.2530","8"
"Tb927.4.3550","11"
"Tb927.4.4010","2"
"Tb927.5.1610","3"
"Tb927.5.1820","3"
"Tb927.5.860","8"
"Tb927.6.2110","5"
"Tb927.6.5040","5"
"Tb927.7.1050","8"
"Tb927.7.1470","8"
"Tb927.7.5930","8"
"Tb927.7.5940","8"
"Tb927.8.1330","3"
"Tb927.8.6180","7"
"Tb927.8.6750","8"
"Tb927.8.7740","8"
"Tb927.9.14370","3"
"Tb927.9.15520","6"
"Tb927.9.15580","12"
"Tb927.9.15600","1"
"Tb927.9.8880","8"
"Tb11.0390","8"
"Tb927.10.10770","13"
"Tb927.10.3930","5"
"Tb927.7.400","4"
"Tb927.10.10000","3"
"Tb927.11.7705","3"
"Tb927.11.3590","8"
"Tb927.11.6180","5"
"Tb927.11.6510","14"
"Tb11.v5.0403","8"
"Tb927.8.5460","2"
"Tb11.v5.0353","2"
"Tb927.10.1590","3"
"Tb927.6.3740","2"
"Tb11.v5.0344","15"
"Tb927.11.11820","3"
"Tb927.7.1340","6"
"Tb927.9.7620","13"
"Tb927.9.8420","5"
"Tb927.8.7660","8"
"Tb927.11.9120","2"
"Tb927.11.6680","2"
"Tb927.9.12240","13"
"Tb927.7.5170","8"
"Tb927.6.720","5"
"Tb927.9.15510","16"
"Tb927.10.14090","3"
"Tb927.8.4430","2"
"Tb927.11.11475","3"
"Tb927.10.12700","4"
"Tb927.9.14570","4"
"Tb11.v5.0243","5"
"Tb927.9.3990","16"
"Tb927.10.560","9"
"Tb927.9.15630","15"
"Tb927.3.2960","5"
"Tb927.10.13517","6"
"Tb927.9.13860","8"
"Tb927.11.9710","5"
"Tb927.7.5960","4"
"Tb927.10.15100","2"
"Tb927.7.5990","8"
"Tb927.11.16480","6"
"Tb927.7.7180","2"
"Tb927.8.1110","6"
"Tb927.9.15210","5"
"Tb927.11.11090","3"
"Tb927.9.11380","5"
"Tb927.10.6070","8"
"Tb927.9.10230","13"
"Tb927.3.3310","6"
"Tb927.11.3580","8"
"Tb927.7.2030","2"
"Tb927.5.2160","8"
"Tb927.8.6033","6"
"Tb927.11.10030","6"
"Tb927.10.3210","8"
"Tb927.10.6370","3"
"Tb927.11.2050","7"
"Tb927.10.7570","8"
"Tb927.10.11970","13"
"Tb927.10.2100","10"
"Tb927.1.2370","12"
"Tb927.10.7330","9"
"Tb927.10.14580","3"
"Tb927.8.7610","4"
"Tb927.7.2640","8"
"Tb11.v5.0468","14"
"Tb927.11.2060","5"
"Tb927.8.6160","11"
"Tb927.10.6510","10"
"Tb927.3.3330","15"
"Tb927.11.6990","13"
"Tb927.8.3390","2"
"Tb927.10.4640","2"
"Tb927.11.13003","7"
"Tb927.4.3500","8"
"Tb927.11.6390","2"
"Tb927.7.2370","5"
"Tb927.6.2740","17"
"Tb927.11.11725","5"
"Tb927.7.440","13"
"Tb927.6.5130","7"
"Tb927.11.4290","8"
"Tb927.10.7340","9"
"Tb927.11.14020","8"
"Tb927.9.7890","8"
"Tb927.11.16615","2"
"Tb927.4.4730","2"
"Tb927.7.1120","8"
"Tb927.7.1290","10"
"Tb927.11.11330","2"
"Tb927.2.340","8"
"Tb927.5.1000","5"
"Tb927.10.180","9"
"Tb927.5.1110","8"
"Tb927.6.4690","3"
"Tb927.10.4830","8"
"Tb927.8.7650","4"
"Tb927.8.4810","4"
"Tb927.10.15180","13"
"Tb927.6.160","2"
"Tb11.v5.0346","15"
"Tb927.7.3680","5"
"Tb927.4.200","2"
"Tb927.7.380","12"
"Tb11.v5.0495","8"
"Tb927.5.3890","8"
"Tb927.9.10310","13"
"Tb927.7.1950","2"
"Tb927.10.10260","13"
"Tb927.7.2020","2"
"Tb927.9.14220","6"
"Tb927.10.2530","9"
"Tb927.10.6630","2"
"Tb927.2.1120","2"
"Tb927.10.14710","5"
"Tb927.7.1960","18"
"Tb927.7.330","13"
"Tb927.8.6030","9"
"Tb927.4.2040","8"
"Tb927.7.1320","6"
"Tb927.7.5180","8"
"Tb927.8.7640","2"
"Tb11.v5.1059","11"
"Tb927.7.5980","4"
"Tb927.11.9530","2"
"Tb927.10.11540","5"
"Tb927.5.2260","4"
"Tb927.11.14165","13"
"Tb927.6.2940","8"
"Tb927.11.4820","9"
"Tb927.11.7510","3"
"Tb927.11.17040","13"
"Tb927.10.4560","8"
"Tb927.3.4360","7"
"Tb927.7.230","19"
"Tb927.3.2230","6"
"Tb927.2.6090","12"
"Tb927.11.6860","19"
"Tb927.1.710","13"
"Tb927.7.7110","2"
"Tb927.6.510","4"
"Tb927.7.2980","2"
"Tb927.2.1170","2"
"Tb927.8.6150","11"
"Tb927.10.15140","3"
"Tb927.2.5300","1"
"Tb927.9.1960","8"
"Tb11.v5.1060","3"
"Tb11.v5.0345","8"
"Tb11.v5.0294","2"
"Tb927.8.8290","15"
"Tb927.9.5150","14"
"Tb927.11.9720","5"
"Tb927.1.3820","8"
"Tb927.9.11410","11"
"Tb927.8.6038","9"
"Tb927.1.2390","16"
"Tb927.8.3460","8"
"Tb927.2.1150","4"
"Tb927.9.15540","15"
"Tb927.4.1390","7"
"Tb927.11.13260","8"
"Tb927.11.14320","8"
"Tb11.v5.0448","10"
"Tb927.8.7120","13"
"Tb927.1.2820","4"
"Tb927.10.3380","3"
"Tb927.11.14190","4"
"Tb927.9.12510","5"
"Tb927.6.4980","9"
"Tb927.11.880","1"
"Tb927.11.13190","9"
"Tb927.1.370","8"
"Tb927.7.1730","8"
"Tb927.10.7790","8"
"Tb927.10.5480","8"
"Tb927.10.5330","5"
"Tb927.7.1980","8"
"Tb927.9.13820","1"
"Tb11.v5.0761","8"
"Tb927.11.7040","8"
"Tb927.9.11540","8"
"Tb927.3.4680","8"
"Tb927.9.8070","19"
"Tb927.10.5010","13"
"Tb927.8.1870","5"
"Tb927.6.2100","3"
"Tb927.7.420","4"
"Tb927.10.1090","14"
"Tb927.6.4570","3"
"Tb927.9.7920","8"
"Tb927.9.11300","8"
"Tb927.10.2090","10"
"Tb927.8.7600","8"
"Tb927.4.440","8"
"Tb927.11.550","3"
"Tb927.10.14700","15"
"Tb927.9.13785","1"
"Tb927.2.3460","3"
"Tb927.3.4100","15"
"Tb927.2.950","2"
"Tb927.4.1610","8"
"Tb927.9.11270","3"
"Tb927.6.5010","9"
"Tb927.9.10560","9"
"Tb927.8.5640","1"
"Tb927.10.13490","8"
"Tb927.9.8100","14"
"Tb927.10.11030","6"
"Tb927.2.1380","2"
"Tb927.11.11370","13"
"Tb927.11.15840","8"
"Tb927.10.7810","19"
"Tb927.11.4910","10"
"Tb11.v5.0295","2"
"Tb927.9.6070","8"
"Tb927.4.220","2"
"Tb927.7.6000","4"
"Tb927.3.2420","6"
"Tb927.10.6400","2"
"Tb927.2.5850","20"
"Tb927.11.4860","11"
"Tb927.8.6170","2"
"Tb927.11.13050","4"
"Tb11.v5.1035","13"
"Tb927.6.4580","2"
"Tb927.2.1560","3"
"Tb927.11.11590","8"
"Tb927.8.7630","4"
"Tb927.11.13610","8"
"Tb927.10.11300","12"
"Tb927.2.4700","14"
"Tb927.7.3020","8"
"Tb927.3.740","20"
"Tb927.10.9880","5"
"Tb927.2.5310","12"
"Tb927.6.2640","8"
"Tb927.1.70","2"
"Tb927.7.1970","2"
"Tb927.2.2520","20"
"Tb927.1.2310","4"
"Tb927.11.740","7"
"Tb927.9.15620","1"
"Tb927.7.360","15"
"Tb927.6.220","14"
"Tb927.8.2030","8"
"Tb927.7.7430","4"
"Tb927.6.4440","9"
"Tb927.6.3750","5"
"Tb927.9.5650","8"
"Tb927.10.12680","7"
"Tb927.3.640","8"
"Tb927.10.1080","8"
"Tb927.6.1990","3"
"Tb927.11.5840","2"
"Tb927.5.4030","6"
"Tb927.4.1800","19"
"Tb927.1.2330","2"
"Tb927.2.5060","9"
"Tb927.11.12100","16"
"Tb927.11.11690","5"
"Tb927.9.9210","3"
"Tb927.3.5090","3"
"Tb927.10.14790","9"
"Tb927.2.170","2"
