"","waldStat","df","pvalue","meanLogFC"
"Tb11.v5.0402",98.1086005938972,6,0,1.16511521958561
"Tb11.v5.1046",97.7432591598765,6,0,1.20026871160247
"Tb927.1.2360",93.4489132829968,6,0,0.443592623052755
"Tb927.1.3200",110.058497051616,6,0,1.61917198349096
"Tb927.1.580",187.872815756658,6,0,2.45283481769915
"Tb927.1.600",94.1629981957023,6,0,1.4338798734705
"Tb927.10.11390",126.755747841626,6,0,0.894887433660862
"Tb927.10.12080",101.391193815996,6,0,2.17288769527251
"Tb927.10.13500",163.24272112498,6,0,1.61992230615162
"Tb927.10.15120",108.006327784462,6,0,2.0402325639589
"Tb927.10.4110",115.537509464263,6,0,2.7043820337862
"Tb927.10.4120",145.362720857956,6,0,0.730618314581715
"Tb927.10.5460",107.130223130362,6,0,1.67199636925089
"Tb927.10.5610",97.5076262908226,6,0,0.813925054729877
"Tb927.10.7410",140.614614058804,6,0,2.32601486890789
"Tb927.10.8940",98.3521079595294,6,0,1.02251656238917
"Tb927.11.10025",95.9001759559217,6,0,1.77216088209827
"Tb927.11.10160",93.1618413656269,6,0,0.792876731215733
"Tb927.11.11360",92.8616771214003,6,0,1.05375927038157
"Tb927.11.11830",100.631262387499,6,0,0.616750252509321
"Tb927.11.13007",112.760327578411,6,0,0.579409649561941
"Tb927.11.13780",88.7571371670299,6,0,1.60980173063045
"Tb927.11.16280",93.0030419965648,6,0,0.852462635492147
"Tb927.11.3000",91.7599981305086,6,0,1.84594829166988
"Tb927.11.3030",102.669789161666,6,0,3.20256149979143
"Tb927.11.3230",185.242143933086,6,0,1.21482056853225
"Tb927.11.4300",131.463851461732,6,0,0.720889696329238
"Tb927.11.5960",96.7814384627713,6,0,1.11512440835625
"Tb927.11.6200",114.626725051105,6,0,0.85596320427497
"Tb927.11.6500",109.158299766748,6,0,0.651846149964827
"Tb927.11.7685",119.9362937836,6,0,0.525955319456965
"Tb927.11.7900",90.9743896741181,6,0,1.83749115680435
"Tb927.11.9700",90.9385002015664,6,0,0.659050993653669
"Tb927.11.9730",128.76909742112,6,0,0.638093999285687
"Tb927.2.480",99.9074449001433,6,0,1.02964696739058
"Tb927.3.5050",92.5302893035556,6,0,0.725258565923694
"Tb927.4.1100",255.460222099981,6,0,2.62318299535476
"Tb927.4.2530",118.582662324755,6,0,0.908864120249863
"Tb927.4.3550",100.482667598121,6,0,1.33683319440873
"Tb927.4.4010",99.9955604655282,6,0,1.01792412230976
