barcode	status	assignment	log_prob_singleton	log_prob_doublet	cluster0	cluster1
29784_4_338_sorted.bam	singlet	1	-1417.3096440404465	-3215.159217325606	-11767.104836799723	-1417.3096440404465
29784_4_7_sorted.bam	singlet	1	-708.8888690126226	-1515.0989175244592	-6076.951343158913	-708.8888690126226
29784_4_202_sorted.bam	singlet	0	-407.26022514481775	-2259.6685102086	-407.26022514481775	-8767.98903792536
29784_4_33_sorted.bam	singlet	1	-190.4567094314658	-428.22882345804527	-1982.2479265269556	-190.4567094314658
29784_4_82_sorted.bam	singlet	1	-15664.395504075605	-37880.61864619519	-119107.23752479428	-15664.395504075605
29784_4_299_sorted.bam	singlet	0	-12035.343197100468	-46306.16077683507	-12035.343197100468	-174236.4856670113
29784_4_294_sorted.bam	singlet	0	-8460.456462790935	-48432.50379931362	-8460.456462790935	-189600.1314125062
29784_4_201_sorted.bam	singlet	0	-359.87750823798956	-1939.7040107436126	-359.87750823798956	-7265.709947907412
29784_4_56_sorted.bam	singlet	1	-6236.74373209658	-23818.036359077447	-85746.37375745173	-6236.74373209658
29784_4_295_sorted.bam	doublet	1/0	-40988.72290631325	-14121.038888117911	-41978.79070744431	-40988.72290631325
29784_4_129_sorted.bam	singlet	1	-2463.042095968082	-5387.335592285374	-20265.84594865474	-2463.042095968082
29784_4_102_sorted.bam	singlet	0	-1778.3382406721112	-7627.277488540745	-1778.3382406721112	-38907.16446396434
29784_4_60_sorted.bam	singlet	1	-1978.4746193110439	-5093.562581771035	-20335.612272084774	-1978.4746193110439
29784_4_320_sorted.bam	singlet	0	-8899.30880191813	-38399.191401134776	-8899.30880191813	-144604.2289139579
29784_4_35_sorted.bam	singlet	1	-720.6125410486168	-1607.5910597350394	-6273.929056818396	-720.6125410486168
29784_4_245_sorted.bam	singlet	1	-5903.902570542072	-15806.374122672405	-58112.94168691042	-5903.902570542072
29784_4_156_sorted.bam	singlet	1	-5258.273093866075	-15047.658812452886	-55070.45930483509	-5258.273093866075
29784_4_300_sorted.bam	doublet	0/1	-48341.62637621999	-20842.75730467444	-48341.62637621999	-61274.38687072461
29784_4_291_sorted.bam	singlet	1	-6904.746707002618	-16515.212582065877	-55593.57581527646	-6904.746707002618
29784_4_78_sorted.bam	singlet	0	-8459.338040733353	-63444.064046741594	-8459.338040733353	-250801.10016611073
29784_4_223_sorted.bam	singlet	1	-527.3804593911125	-1386.5609662737836	-5935.432216329791	-527.3804593911125
29784_4_32_sorted.bam	singlet	1	-1738.738963803858	-3367.034272235109	-14211.803916494697	-1738.738963803858
29784_4_226_sorted.bam	singlet	0	-656.1901093904493	-2960.1855903525557	-656.1901093904493	-13503.576437843245
29784_4_148_sorted.bam	singlet	0	-6210.177644228989	-18578.95057032367	-6210.177644228989	-70149.85609239391
29784_4_179_sorted.bam	singlet	1	-7229.245127439019	-16587.254428290402	-52465.8553316213	-7229.245127439019
29784_4_222_sorted.bam	singlet	0	-765.3633434530184	-2840.831877216624	-765.3633434530184	-13439.7862291776
29784_4_101_sorted.bam	singlet	0	-1855.5285238955382	-6624.1354833046935	-1855.5285238955382	-31336.77823109908
29784_4_217_sorted.bam	singlet	1	-1157.0059677181787	-3053.997675978655	-12589.314385664062	-1157.0059677181787
29784_4_244_sorted.bam	singlet	1	-15106.10646612689	-54934.34804903887	-186910.3670466864	-15106.10646612689
29784_4_83_sorted.bam	singlet	1	-11123.146872895602	-24232.13899233447	-74445.08272738472	-11123.146872895602
29784_4_228_sorted.bam	singlet	1	-886.7402873409796	-2238.3768105457584	-9318.091436749968	-886.7402873409796
29784_4_273_sorted.bam	singlet	0	-142.66277255337104	-420.1531329584145	-142.66277255337104	-1692.8505149032658
29784_4_106_sorted.bam	singlet	1	-10809.756107364135	-24289.902167771044	-79383.50927183253	-10809.756107364135
29784_4_155_sorted.bam	singlet	1	-4335.335874295932	-9217.770834972398	-34467.79708531714	-4335.335874295932
29784_4_361_sorted.bam	singlet	1	-1568.5930373968515	-3688.1476893322256	-13606.138826854285	-1568.5930373968515
29784_4_3_sorted.bam	singlet	0	-454.43198711307105	-1720.0453296245976	-454.43198711307105	-8781.921787730646
29784_4_174_sorted.bam	singlet	0	-4089.5748836894877	-14860.025774118987	-4089.5748836894877	-55562.46204954151
29784_4_252_sorted.bam	singlet	0	-13908.298186347272	-14528.250282723033	-13908.298186347272	-59846.3904412788
29784_4_321_sorted.bam	singlet	0	-3573.138239696291	-12422.432210701718	-3573.138239696291	-42514.939478531734
29784_4_367_sorted.bam	singlet	1	-1558.3293956164412	-3663.458516602777	-11191.640358342687	-1558.3293956164412
29784_4_2_sorted.bam	singlet	0	-462.17115939361224	-1805.016807326679	-462.17115939361224	-9127.460298167462
29784_4_115_sorted.bam	singlet	1	-26798.501308210165	-74970.76666584909	-234583.57878002388	-26798.501308210165
29784_4_227_sorted.bam	doublet	0/1	-14889.06738455725	-6553.756926656171	-14889.06738455725	-15470.441551189713
29784_4_51_sorted.bam	singlet	0	-3271.6536911957846	-13487.333041841383	-3271.6536911957846	-60708.76134958342
29784_4_10_sorted.bam	singlet	1	-457.0682046682213	-2386.6080006542416	-7324.133559388067	-457.0682046682213
29784_4_124_sorted.bam	singlet	0	-2119.5403498221244	-8304.776491640107	-2119.5403498221244	-35032.82673806146
29784_4_50_sorted.bam	singlet	0	-1261.9254405971092	-4537.9821710900305	-1261.9254405971092	-21093.21141223787
29784_4_80_sorted.bam	singlet	1	-29161.03415712275	-82122.91207001805	-235070.17149481564	-29161.03415712275
29784_4_203_sorted.bam	singlet	0	-267.30517333025995	-1201.3941222958726	-267.30517333025995	-6127.274712467951
29784_4_324_sorted.bam	doublet	1/0	-56923.41840222055	-45143.85760243725	-113284.07778200357	-56923.41840222055
29784_4_364_sorted.bam	singlet	1	-2873.1685296776964	-6521.119469208075	-24888.265407787985	-2873.1685296776964
29784_4_8_sorted.bam	singlet	1	-870.8205566466996	-2265.6718508380654	-8850.27418386264	-870.8205566466996
29784_4_89_sorted.bam	singlet	1	-10507.372782515	-32413.6866517272	-110411.38958748033	-10507.372782515
29784_4_218_sorted.bam	singlet	1	-2414.477022893514	-6842.676460358707	-27384.8316370572	-2414.477022893514
29784_4_241_sorted.bam	singlet	1	-2013.7216778039003	-5446.989181373532	-23033.094656721863	-2013.7216778039003
29784_4_6_sorted.bam	singlet	0	-354.6576788500193	-1563.3723677196256	-354.6576788500193	-7938.0659145505815
29784_4_26_sorted.bam	singlet	0	-89.2207229917511	-352.1100521636483	-89.2207229917511	-1923.6083592089285
29784_4_248_sorted.bam	singlet	0	-11256.906591926927	-49074.30424828986	-11256.906591926927	-194023.64913541393
29784_4_163_sorted.bam	singlet	1	-12071.249099928791	-29331.740769192274	-90408.08880929864	-12071.249099928791
29784_4_74_sorted.bam	singlet	0	-12135.810233098835	-62470.44183747294	-12135.810233098835	-232589.53297966556
29784_4_55_sorted.bam	singlet	1	-2741.3215667957334	-6984.497751721141	-25948.85663212278	-2741.3215667957334
29784_4_267_sorted.bam	singlet	1	-5008.208109097817	-11472.34223328342	-40185.387688963514	-5008.208109097817
29784_4_246_sorted.bam	singlet	0	-6339.7024177153335	-34046.20352580959	-6339.7024177153335	-130840.30192973424
29784_4_270_sorted.bam	singlet	0	-13327.393281660974	-53228.04624261444	-13327.393281660974	-190610.4884485212
29784_4_199_sorted.bam	doublet	1/0	-520.8740626884149	-267.9409901444194	-637.6497654126864	-520.8740626884149
29784_4_123_sorted.bam	singlet	0	-1788.6004016426311	-7243.136614077883	-1788.6004016426311	-27288.303814153627
29784_4_58_sorted.bam	singlet	1	-5457.804096123514	-16727.1171567641	-63540.89887303465	-5457.804096123514
29784_4_323_sorted.bam	singlet	0	-1421.2675267613017	-6068.204717926935	-1421.2675267613017	-19088.56387524243
29784_4_122_sorted.bam	singlet	0	-1667.0797231410952	-8655.862092125175	-1667.0797231410952	-40803.98011140967
29784_4_271_sorted.bam	singlet	1	-3948.800443633884	-11636.087794663026	-40063.36073724371	-3948.800443633884
