"","mean","detected","use","feature_symbol","sc3_gene_filter","sc3_4_markers_clusts","sc3_4_markers_padj","sc3_4_markers_auroc","sc3_5_markers_clusts","sc3_5_markers_padj","sc3_5_markers_auroc","sc3_6_markers_clusts","sc3_6_markers_padj","sc3_6_markers_auroc","sc3_7_markers_clusts","sc3_7_markers_padj","sc3_7_markers_auroc","sc3_4_de_padj","sc3_5_de_padj","sc3_6_de_padj","sc3_7_de_padj"
"Tb04.24M18.150",0.8890625,2.03125,TRUE,"Tb04.24M18.150",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb04.3I12.100",0.1734375,2.1875,TRUE,"Tb04.3I12.100",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.30F7.410",0.9828125,0.3125,TRUE,"Tb05.30F7.410",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.10",0.015625,0.9375,TRUE,"Tb05.5K5.10",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.100",0.346875,1.71875,TRUE,"Tb05.5K5.100",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.110",1.7046875,10.15625,TRUE,"Tb05.5K5.110",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.120",2.2234375,2.03125,TRUE,"Tb05.5K5.120",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.130",7.8171875,11.40625,TRUE,"Tb05.5K5.130",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.140",0.265625,3.4375,TRUE,"Tb05.5K5.140",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tb05.5K5.150",6.4328125,13.75,TRUE,"Tb05.5K5.150",TRUE,1,3.62782389256863e-07,0.620260576782316,1,0.0948201067350124,0.59337376460018,6,0.000325944299080094,0.614339324511159,7,0.00535743337581418,0.610661645045799,5.58767387855313e-06,8.49783493635948e-05,3.17195663928692e-05,9.29362309572463e-06
