gene.id,location,product.desc,gene.type,input.id,gene.name
Tb04.24M18.150,"Tb927_04_v5.1:1,458,621..1,459,109(-)","hypothetical protein, conserved",protein coding,Tb04.24M18.150,N/A
Tb04.3I12.100,"Tb927_04_v5.1:1,312,814..1,313,406(-)",hypothetical protein,protein coding,Tb04.3I12.100,N/A
Tb05.30F7.410,"Tb927_05_v5.1:288,984..293,087(-)",hypothetical protein,protein coding,Tb05.30F7.410,N/A
Tb05.5K5.10,5K5_v5.1:3..97(-),"conserved hypothetical protein, conserved (fragment)",protein coding,Tb05.5K5.10,N/A
Tb05.5K5.100,"5K5_v5.1:17,609..18,248(-)","hypothetical protein, conserved",protein coding,Tb05.5K5.100,N/A
Tb05.5K5.110,"5K5_v5.1:18,623..22,146(-)","major vault protein, putative",protein coding,Tb05.5K5.110,N/A
Tb05.5K5.120,"5K5_v5.1:21,693..25,373(-)","hypothetical protein, conserved",protein coding,Tb05.5K5.120,N/A
Tb05.5K5.130,"5K5_v5.1:25,549..27,588(-)","paraflagellar rod component par4, putative",protein coding,Tb05.5K5.130,N/A
Tb05.5K5.140,"5K5_v5.1:27,867..28,292(-)","Trypanosoma specific protein, unknown function",protein coding,Tb05.5K5.140,N/A
Tb05.5K5.150,"5K5_v5.1:28,569..29,197(-)","small GTP-binding protein, putative",protein coding,Tb05.5K5.150,N/A
Tb05.5K5.160,"5K5_v5.1:29,371..32,881(-)","hypothetical protein, conserved",protein coding,Tb05.5K5.160,N/A
Tb05.5K5.170,"5K5_v5.1:32,991..33,885(-)","elongation of very long chain fatty acids protein, putative",protein coding,Tb05.5K5.170,N/A
Tb05.5K5.180,"5K5_v5.1:42,035..47,179(+)","receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb05.5K5.180,N/A
Tb05.5K5.190,"5K5_v5.1:47,844..53,721(+)","receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb05.5K5.190,N/A
Tb05.5K5.20,"5K5_v5.1:150..2,405(-)","hypothetical protein, conserved",protein coding,Tb05.5K5.20,N/A
Tb05.5K5.200,"5K5_v5.1:55,818..58,421(+)","guanine deaminase, putative",protein coding,Tb05.5K5.200,N/A
Tb05.5K5.210,"5K5_v5.1:58,529..63,156(+)",hypothetical protein,protein coding,Tb05.5K5.210,N/A
Tb05.5K5.220,"5K5_v5.1:62,433..68,905(+)",hypothetical protein,protein coding,Tb05.5K5.220,N/A
Tb05.5K5.230,"5K5_v5.1:69,112..70,007(+)","RAB GTP-binding protein, degenerate",protein coding,Tb05.5K5.230,N/A
Tb05.5K5.240,"5K5_v5.1:70,446..71,678(+)","expression site-associated gene 3 (ESAG3) protein, putative",protein coding,Tb05.5K5.240,N/A
Tb05.5K5.250,"5K5_v5.1:73,326..73,871(+)",hypothetical protein,protein coding,Tb05.5K5.250,N/A
Tb05.5K5.270,"5K5_v5.1:78,356..79,256(+)","expression site-associated gene 9 (ESAG9), frameshift",protein coding,Tb05.5K5.270,N/A
Tb05.5K5.280,"5K5_v5.1:82,303..83,290(+)","expression site-associated gene 1 (ESAG1), point mutation",protein coding,Tb05.5K5.280,N/A
Tb05.5K5.290,"5K5_v5.1:85,390..86,076(-)",hypothetical protein,protein coding,Tb05.5K5.290,N/A
Tb05.5K5.30,"5K5_v5.1:3,300..7,701(-)","serine/threonine protein phosphatase, putative",protein coding,Tb05.5K5.30,N/A
Tb05.5K5.310,"5K5_v5.1:89,861..90,997(-)","expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb05.5K5.310,N/A
Tb05.5K5.40,"5K5_v5.1:8,406..9,012(-)","hypothetical protein, conserved",protein coding,Tb05.5K5.40,N/A
Tb05.5K5.420,"5K5_v5.1:122,167..123,255(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb05.5K5.420,N/A
Tb05.5K5.470,"5K5_v5.1:137,939..139,749(-)","variant surface glycoprotein, frameshift",protein coding,Tb05.5K5.470,N/A
Tb05.5K5.500,"5K5_v5.1:146,132..147,163(-)","expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb05.5K5.500,N/A
Tb05.5K5.70,"5K5_v5.1:11,904..14,331(-)","nucleolar RNA helicase II, putative",protein coding,Tb05.5K5.70,N/A
Tb05.5K5.80,"5K5_v5.1:15,063..16,182(-)","calcium/calmodulin-dependent protein kinase, putative",protein coding,Tb05.5K5.80,N/A
Tb05.5K5.90,"5K5_v5.1:16,499..16,915(-)","dynein light chain, putative",protein coding,Tb05.5K5.90,N/A
Tb06.3A7.270,"Tb927_06_v5.1:389,986..393,393(-)","hypothetical protein, conserved",protein coding,Tb06.3A7.270,N/A
Tb06.3A7.960,"Tb927_06_v5.1:484,268..485,499(+)",hypothetical protein,protein coding,Tb06.3A7.960,N/A
Tb07.11L3.100,"11L3_v3:30,224..48,500(-)",SUMO-interacting motif-containing protein,protein coding,Tb07.11L3.100,N/A
Tb07.11L3.90,"11L3_v3:23,858..29,262(-)","zinc finger protein family member, putative",protein coding,Tb07.11L3.90,ZC3H18
Tb07.30D13.110,"Tb927_07_v5.1:2,186,105..2,186,863(+)","hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.110,N/A
Tb07.30D13.130,"Tb927_07_v5.1:2,184,767..2,185,687(+)","hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.130,N/A
Tb07.30D13.160,"Tb927_07_v5.1:2,178,294..2,179,475(+)","hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.160,N/A
Tb07.30D13.180,"Tb927_07_v5.1:2,177,383..2,178,291(+)","hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.180,N/A
Tb07.30D13.60,"Tb927_07_v5.1:2,193,496..2,195,226(+)","hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.60,N/A
Tb07.30D13.80,"Tb927_07_v5.1:2,192,158..2,193,070(+)","hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.80,N/A
Tb08.27P2.110,"Tbrucei.chr8.100:10,721..12,836(+)","PAP2 superfamily, putative",protein coding,Tb08.27P2.110,N/A
Tb08.27P2.160,"Tbrucei.chr8.100:22,974..24,074(-)","expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb08.27P2.160,N/A
Tb08.27P2.400,"Tbrucei.chr8.100:70,778..71,852(-)","expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb08.27P2.400,N/A
Tb08.27P2.50,"Tbrucei.chr8.100:4,550..5,005(-)",hypothetical protein,protein coding,Tb08.27P2.50,N/A
Tb08.27P2.60,"Tbrucei.chr8.100:5,080..5,810(+)",hypothetical protein,protein coding,Tb08.27P2.60,N/A
Tb08.27P2.70,"Tbrucei.chr8.100:5,898..6,725(+)",hypothetical protein,protein coding,Tb08.27P2.70,N/A
Tb08.27P2.80,"Tbrucei.chr8.100:7,005..8,815(+)",hypothetical protein,protein coding,Tb08.27P2.80,N/A
Tb08.27P2.90,"Tbrucei.chr8.100:8,903..9,760(+)",hypothetical protein,protein coding,Tb08.27P2.90,N/A
Tb09.v4.0009,"TP26M21-2a10.p1k:683..4,513(+)","receptor-type adenylate cyclase, putative",protein coding,Tb09.v4.0009,N/A
Tb09.v4.0011,"TP26M21-2a10.p1k:12,906..14,353(+)","variant surface glycoprotein (VSG), putative",protein coding,Tb09.v4.0011,N/A
Tb09.v4.0013,"TP26M21-2a10.p1k:26,702..31,837(-)","retrotransposon hot spot (RHS) protein, putative",protein coding,Tb09.v4.0013,N/A
Tb09.v4.0014,"TP26M21-2a10.p1k:32,501..36,642(-)",hypothetical protein,protein coding,Tb09.v4.0014,N/A
Tb09.v4.0015,"TP26M21-2a10.p1k:37,901..38,897(-)",hypothetical protein,protein coding,Tb09.v4.0015,N/A
Tb09.v4.0016,"TP26P4-1a02.q1ka:142..1,819(-)","expression site- associated gene (ESAG) protein, putative",protein coding,Tb09.v4.0016,N/A
Tb09.v4.0017,"TP26P4-1a02.q1ka:7,197..10,138(+)","rab1 (small gtp-binding protein rab1, putative)",protein coding,Tb09.v4.0017,N/A
Tb09.v4.0018,"TP26P4-1a02.q1ka:10,465..11,737(+)","expression site-associated gene 3 (ESAG3) protein, putative",protein coding,Tb09.v4.0018,N/A
Tb09.v4.0024,"TP26P4-3b07.q1k:10,372..11,481(-)","variant surface glycoprotein, degenerate",protein coding,Tb09.v4.0024,N/A
Tb09.v4.0037,"TP26P4-5g04.p1k:5,948..7,345(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0037,N/A
Tb09.v4.0041,"TP26P4-6c09.p1k:865..2,803(+)","leucine-rich repeat protein (LRRP), fragment",protein coding,Tb09.v4.0041,N/A
Tb09.v4.0042,"TP26P4-6c09.p1k:5,043..9,041(+)","leucine-rich repeat protein (LRRP, pseudogene), putative",protein coding,Tb09.v4.0042,N/A
Tb09.v4.0056,"Tp_ends-40b06.q1k:4,161..6,185(-)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0056,N/A
Tb09.v4.0058,"tryp_IXa-16h03.q1c:1,491..3,431(+)",hypothetical protein,protein coding,Tb09.v4.0058,N/A
Tb09.v4.0059,"tryp_IXa-16h03.q1c:4,347..7,176(+)",hypothetical protein,protein coding,Tb09.v4.0059,N/A
Tb09.v4.0060,"tryp_IXa-16h03.q1c:7,387..9,852(+)",hypothetical protein,protein coding,Tb09.v4.0060,N/A
Tb09.v4.0063,"tryp_IXb-1c10.p1c:8,293..9,943(+)","variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb09.v4.0063,N/A
