"","howick_p_val","howick_avg_log2FC","howick_pct.1","howick_pct.2","howick_p_val_adj","hutchinson_p_val","hutchinson_avg_log2FC","hutchinson_pct.1","hutchinson_pct.2","hutchinson_p_val_adj","max_pval","minimump_p_val","gene_id","prod_desc","gene_name"
"Tb927.7.380",1.00730741990654e-34,5.98633671470892,0.533,0.012,9.36594439029098e-31,1.6376672823576e-106,10.8477247098124,0.747,0.124,1.5227030391361e-102,1.00730741990654e-34,3.27533456471518e-106,"Tb927.7.380","hypothetical protein, conserved","N/A"
"Tb927.7.400",7.68056085842205e-45,4.40562299760664,0.748,0.063,7.14138548616082e-41,3.01880398753753e-106,9.88150890284775,0.706,0.109,2.80688394761239e-102,7.68056085842205e-45,6.03760797507512e-106,"Tb927.7.400","hypothetical protein, conserved","N/A"
"Tb927.7.210",4.35739790192561e-18,3.29587950164091,0.452,0.079,4.05150856921043e-14,1.68808642293279e-96,3.52469169499313,0.688,0.115,1.56958275604291e-92,4.35739790192561e-18,3.37617284586558e-96,"Tb927.7.210","Proline dehydrogenase, mitochondrial","PRODH"
"Tb927.8.7610",6.61269465853252e-48,1.97693947477615,0.904,0.142,6.14848349350353e-44,2.00065648720544e-96,20.2824296519459,0.959,0.374,1.86021040180361e-92,6.61269465853252e-48,4.00131297441087e-96,"Tb927.8.7610","amino acid transporter 1, putative","AATP1"
"Tb927.10.13700",1.3405652444966e-40,1.50516052715389,0.726,0.067,1.24645756433294e-36,2.20332176438611e-91,4.47005779530268,0.794,0.185,2.04864857652621e-87,1.3405652444966e-40,4.4066435287722e-91,"Tb927.10.13700","phosphatidic acid phosphatase alpha, putative","N/A"
"Tb927.7.360",1.29929674055367e-30,3.79308977092823,0.511,0.024,1.2080861093668e-26,6.47618653002375e-90,10.7580090554342,0.665,0.114,6.02155823561608e-86,1.29929674055367e-30,1.29523730600475e-89,"Tb927.7.360","Salivary gland epimastigote 1","SGE1"
"Tb927.1.2150",9.60141087132194e-30,0.485186355010621,0.807,0.19,8.92739182815514e-26,2.19007492651046e-81,6.8260222140674,0.935,0.344,2.03633166666943e-77,9.60141087132194e-30,4.38014985302093e-81,"Tb927.1.2150","Small kinetoplastid calpain-related protein 1-4","SKCRP1-4"
"Tb927.10.7410",4.06312025002027e-28,1.3416708114292,0.719,0.182,3.77788920846885e-24,3.49495809211979e-80,4.65618770379376,0.776,0.196,3.24961203405298e-76,4.06312025002027e-28,6.98991618423961e-80,"Tb927.10.7410","succinyl-CoA ligase [GDP-forming] beta-chain, putative","N/A"
"Tb927.2.4920",1.78470973445521e-22,2.91506940957657,0.696,0.213,1.65942311109646e-18,6.90645153029243e-71,19.5120570523597,0.806,0.266,6.4216186328659e-67,1.78470973445521e-22,1.38129030605848e-70,"Tb927.2.4920","hypothetical protein, conserved","N/A"
"Tb927.2.5530",1.90552707710788e-26,0.351963167979707,0.615,0.091,1.77175907629491e-22,1.00893133590382e-69,7.35550955457862,0.741,0.198,9.38104356123371e-66,1.90552707710788e-26,2.01786267180764e-69,"Tb927.2.5530","Present in the outer mitochondrial membrane proteome 22-1","POMP22-1"
"Tb927.11.6680",1.70503757973415e-19,2.49703693084611,0.533,0.119,1.58534394163681e-15,1.16129389824332e-67,2.67698353963211,0.588,0.113,1.07977106658664e-63,1.70503757973415e-19,2.32258779648665e-67,"Tb927.11.6680","amino acid permease/transporter, putative","N/A"
"Tb927.2.5610",1.26785006373817e-30,1.27944467957497,0.652,0.075,1.17884698926375e-26,2.41462053536899e-67,5.25198921363689,0.676,0.162,2.24511417378608e-63,1.26785006373817e-30,4.82924107073798e-67,"Tb927.2.5610","Present in the outer mitochondrial membrane proteome 22B","POMP22B"
"Tb927.8.6750",3.43262167556745e-27,2.46752343805414,0.674,0.146,3.19165163394262e-23,3.43293465596096e-66,3.18962799898814,0.659,0.153,3.1919426431125e-62,3.43262167556745e-27,6.86586931192188e-66,"Tb927.8.6750","translationally controlled tumor protein (TCTP), putative","TCTP1"
"Tb927.2.4760",1.2744731450376e-14,1.97861262361965,0.63,0.217,1.18500513025596e-10,2.61536458936871e-65,17.9065206712637,0.806,0.281,2.43176599519502e-61,1.2744731450376e-14,5.23072917873739e-65,"Tb927.2.4760","hypothetical protein, conserved","N/A"
"Tb927.10.3210",2.83473506062176e-11,0.675235288107562,0.526,0.202,2.63573665936611e-07,1.16974236678475e-64,7.27056178063755,0.729,0.214,1.08762645263646e-60,2.83473506062176e-11,2.33948473356952e-64,"Tb927.10.3210","delta-1-pyrroline-5-carboxylate dehydrogenase, putative","N/A"
"Tb927.2.5290",1.06312830535308e-26,2.46384875137809,0.644,0.126,9.88496698317297e-23,1.48481296988258e-64,24.3383439870128,0.853,0.35,1.38057909939683e-60,1.06312830535308e-26,2.96962593976517e-64,"Tb927.2.5290","hypothetical protein, conserved","N/A"
"Tb927.2.1080",3.74735892380872e-15,0.875088919459895,0.548,0.178,3.48429432735734e-11,4.43512745965246e-64,8.94321274786766,0.971,0.609,4.12378151198485e-60,3.74735892380872e-15,8.87025491930504e-64,"Tb927.2.1080","retrotransposon hot spot protein 5 (RHS5), putative","RHS5"
"Tb927.8.3620",2.43171880260332e-12,0.671551703149197,0.326,0.055,2.26101214266056e-08,5.45672621899009e-64,2.87047086408033,0.512,0.089,5.07366403841699e-60,2.43171880260332e-12,1.09134524379803e-63,"Tb927.8.3620","folate transporter, putative","N/A"
"Tb927.6.510",1.42636355740719e-28,0.404550559458611,0.77,0.261,1.32623283567721e-24,2.06901495912082e-63,32.5130379128939,0.912,0.444,1.92377010899054e-59,1.42636355740719e-28,4.1380299182416e-63,"Tb927.6.510","GPEET procyclin","GPEET"
"Tb927.3.2230",5.60156383900492e-19,1.71318538234987,0.474,0.079,5.20833405750678e-15,6.33175751041643e-63,2.04447235040887,0.541,0.101,5.8872681331852e-59,5.60156383900492e-19,1.2663515020833e-62,"Tb927.3.2230","succinyl-CoA synthetase alpha subunit, putative","N/A"
"Tb927.10.10260",3.54366256258089e-19,0.558942356216738,0.926,0.569,3.29489745068771e-15,5.53082034451742e-62,2.19043871711273,0.965,0.57,5.1425567563323e-58,3.54366256258089e-19,1.10616406890347e-61,"Tb927.10.10260","EP1 procyclin","EP1"
"Tb927.8.7740",4.43675538816114e-17,3.20308906491175,0.711,0.316,4.12529515991223e-13,2.21116779276124e-59,11.9838664052131,0.882,0.405,2.0559438137094e-55,4.43675538816114e-17,4.42233558552254e-59,"Tb927.8.7740","amino acid transporter, putative","N/A"
"Tb927.11.4700",1.4078672410335e-13,2.36079449071622,0.459,0.115,1.30903496071295e-09,2.96426970659988e-59,1.81305119351828,0.471,0.078,2.75617797319656e-55,1.4078672410335e-13,5.92853941319968e-59,"Tb927.11.4700","prostaglandin f synthase","N/A"
"Tb927.2.4700",1.7854328295729e-09,1.00731111118138,0.496,0.182,1.66009544493688e-05,3.47063860295317e-59,2.87404245571077,0.753,0.233,3.22699977302586e-55,1.7854328295729e-09,6.94127720590642e-59,"Tb927.2.4700","succinate dehydrogenase subunit","SDH8"
"Tb927.3.2960",1.13209516873783e-26,1.39648836689626,0.719,0.182,1.05262208789243e-22,3.6002243495734e-59,11.4496755833126,0.788,0.3,3.34748860023335e-55,1.13209516873783e-26,7.20044869914675e-59,"Tb927.3.2960","inosine-adenosine-guanosine-nucleosidehydrolase","IAGNH"
"Tb927.10.12850",6.40544633310676e-13,0.543624406719676,0.748,0.336,5.95578400052267e-09,3.7126249455994e-59,9.61960660886193,0.935,0.527,3.45199867441832e-55,6.40544633310676e-13,7.42524989119879e-59,"Tb927.10.12850","ttaggg binding factor","TRF"
"Tb927.10.10000",6.53408669493686e-17,1.01791305815392,0.489,0.103,6.07539380895229e-13,5.00245120089702e-58,3.25537177017435,0.547,0.116,4.65127912659405e-54,6.53408669493686e-17,1.00049024017942e-57,"Tb927.10.10000","hypothetical protein, conserved","N/A"
"Tb927.7.1320",6.81302269843504e-22,1.42608375497814,0.607,0.123,6.3347485050049e-18,6.07978720197021e-58,8.95176760863156,0.647,0.166,5.6529861403919e-54,6.81302269843504e-22,1.21595744039405e-57,"Tb927.7.1320","10 kDa heat shock protein, putative","HSP10"
"Tb927.11.3580",3.80151654644257e-29,2.78230732238412,0.541,0.043,3.5346500848823e-25,1.32072880443831e-57,1.33742382905332,0.382,0.051,1.22801364236674e-53,3.80151654644257e-29,2.64145760887662e-57,"Tb927.11.3580","Thiamin pyrophosphokinase, vitamin B1 binding domain containing protein, putative","N/A"
"Tb927.10.14090",5.42301746317127e-18,1.9789894068506,0.556,0.13,5.04232163725665e-14,6.03391464014311e-57,1.65670858860773,0.406,0.058,5.61033383240507e-53,5.42301746317127e-18,1.20678292802862e-56,"Tb927.10.14090","transporter, putative","N/A"
"Tb927.9.1960",1.66987381500325e-19,0.345536784881501,0.474,0.063,1.55264867319003e-15,3.11704555783216e-55,1.4888019357969,0.365,0.047,2.89822895967234e-51,1.66987381500325e-19,6.23409111566435e-55,"Tb927.9.1960","nitrilase, putative","NIT1"
"Tb927.2.2670",7.54528315370845e-32,1.13414152225841,0.667,0.099,7.01560427631812e-28,3.30466589427592e-55,5.92589198297825,0.782,0.293,3.07267834849775e-51,7.54528315370845e-32,6.60933178855185e-55,"Tb927.2.2670","histone H4 variant","H4V"
"Tb927.2.340",1.13921202633378e-07,0.575890372247918,0.696,0.383,0.00105923934208514,8.72557796071363e-55,10.1847632351023,0.941,0.634,8.11304238787153e-51,1.13921202633378e-07,1.74511559214274e-54,"Tb927.2.340","retrotransposon hot spot protein 4 (RHS4), putative","RHS4"
"Tb927.11.16130",7.12099090496469e-25,1.07313895695564,0.748,0.217,6.62109734343617e-21,1.78552958888824e-54,2.48257218470791,0.635,0.169,1.66018541174829e-50,7.12099090496469e-25,3.57105917777649e-54,"Tb927.11.16130","nucleoside diphosphate kinase","NDPK"
"Tb927.1.2160",5.30698522303491e-30,1.47776240910135,0.807,0.198,4.93443486037786e-26,9.80292591804133e-53,8.03302876129072,0.741,0.271,9.11476051859483e-49,5.30698522303491e-30,1.96058518360827e-52,"Tb927.1.2160","Small kinetoplastid calpain-related protein 1-5","SKCRP1-5"
"Tb927.1.3950",5.75804743561649e-11,0.380441743675481,0.356,0.079,5.35383250563622e-07,7.35597258198331e-52,18.4099281359879,0.753,0.304,6.83958330672808e-48,5.75804743561649e-11,1.47119451639666e-51,"Tb927.1.3950","alanine aminotransferase","ALAT"
"Tb927.7.1980",3.06022048889486e-20,2.24297194109439,0.363,0.02,2.84539301057444e-16,8.26865654052809e-52,7.17280752353195,0.359,0.052,7.68819685138302e-48,3.06022048889486e-20,1.65373130810563e-51,"Tb927.7.1980","retrotransposon hot spot protein 7 (RHS7), putative","N/A"
