Gene ID,source_id,Product Description,Gene Type,Input ID,# Transcripts,Transcript Length,Genomic Location (Transcript),Genomic Location (Gene),Gene Name or Symbol
Tb04.24M18.150,Tb04.24M18.150:mRNA,"hypothetical protein, conserved",protein coding,Tb04.24M18.150,1,489,Tb927_04_v5.1:1458621..1459109(-),"Tb927_04_v5.1:1,458,621..1,459,109(-)",N/A
Tb04.3I12.100,Tb04.3I12.100:mRNA,hypothetical protein,protein coding,Tb04.3I12.100,1,593,Tb927_04_v5.1:1312951..1313406(-),"Tb927_04_v5.1:1,312,814..1,313,406(-)",N/A
Tb05.30F7.410,Tb05.30F7.410:mRNA,hypothetical protein,protein coding,Tb05.30F7.410,1,4104,Tb927_05_v5.1:292578..293087(-),"Tb927_05_v5.1:288,984..293,087(-)",N/A
Tb05.5K5.10,Tb05.5K5.10:mRNA,"conserved hypothetical protein, conserved (fragment)",protein coding,Tb05.5K5.10,1,95,5K5_v5.1:3..74(-),5K5_v5.1:3..97(-),N/A
Tb05.5K5.100,Tb05.5K5.100:mRNA,"hypothetical protein, conserved",protein coding,Tb05.5K5.100,1,640,5K5_v5.1:17609..18118(-),"5K5_v5.1:17,609..18,248(-)",N/A
Tb05.5K5.110,Tb05.5K5.110:mRNA,"major vault protein, putative",protein coding,Tb05.5K5.110,1,3524,5K5_v5.1:18945..21461(-),"5K5_v5.1:18,623..22,146(-)",N/A
Tb05.5K5.120,Tb05.5K5.120:mRNA,"hypothetical protein, conserved",protein coding,Tb05.5K5.120,1,3681,5K5_v5.1:22806..25343(-),"5K5_v5.1:21,693..25,373(-)",N/A
Tb05.5K5.130,Tb05.5K5.130:mRNA,"paraflagellar rod component par4, putative",protein coding,Tb05.5K5.130,1,2040,5K5_v5.1:25819..27558(-),"5K5_v5.1:25,549..27,588(-)",N/A
Tb05.5K5.140,Tb05.5K5.140:mRNA,"Trypanosoma specific protein, unknown function",protein coding,Tb05.5K5.140,1,426,5K5_v5.1:27867..28289(-),"5K5_v5.1:27,867..28,292(-)",N/A
Tb05.5K5.150,Tb05.5K5.150:mRNA,"small GTP-binding protein, putative",protein coding,Tb05.5K5.150,1,629,5K5_v5.1:28569..29153(-),"5K5_v5.1:28,569..29,197(-)",N/A
Tb05.5K5.160,Tb05.5K5.160:mRNA,"hypothetical protein, conserved",protein coding,Tb05.5K5.160,1,3511,5K5_v5.1:30086..32866(-),"5K5_v5.1:29,371..32,881(-)",N/A
Tb05.5K5.170,Tb05.5K5.170:mRNA,"elongation of very long chain fatty acids protein, putative",protein coding,Tb05.5K5.170,1,895,5K5_v5.1:33091..33864(-),"5K5_v5.1:32,991..33,885(-)",N/A
Tb05.5K5.180,Tb05.5K5.180:mRNA,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb05.5K5.180,1,5145,5K5_v5.1:43448..47179(+),"5K5_v5.1:42,035..47,179(+)",N/A
Tb05.5K5.190,Tb05.5K5.190:mRNA,"receptor-type adenylate cyclase GRESAG 4, putative",protein coding,Tb05.5K5.190,1,5878,5K5_v5.1:49990..53721(+),"5K5_v5.1:47,844..53,721(+)",N/A
Tb05.5K5.20,Tb05.5K5.20:mRNA,"hypothetical protein, conserved",protein coding,Tb05.5K5.20,1,2256,5K5_v5.1:479..1756(-),"5K5_v5.1:150..2,405(-)",N/A
Tb05.5K5.200,Tb05.5K5.200:mRNA,"guanine deaminase, putative",protein coding,Tb05.5K5.200,1,2604,5K5_v5.1:55997..57547(+),"5K5_v5.1:55,818..58,421(+)",N/A
Tb05.5K5.210,Tb05.5K5.210:mRNA,hypothetical protein,protein coding,Tb05.5K5.210,1,4628,5K5_v5.1:58827..61283(+),"5K5_v5.1:58,529..63,156(+)",N/A
Tb05.5K5.220,Tb05.5K5.220:mRNA,hypothetical protein,protein coding,Tb05.5K5.220,1,6473,5K5_v5.1:65890..68346(+),"5K5_v5.1:62,433..68,905(+)",N/A
Tb05.5K5.230,Tb05.5K5.230:pseudogenic_transcript,"RAB GTP-binding protein, degenerate",protein coding,Tb05.5K5.230,1,896,5K5_v5.1:69567..70007(+),"5K5_v5.1:69,112..70,007(+)",N/A
Tb05.5K5.240,Tb05.5K5.240:mRNA,"expression site-associated gene 3 (ESAG3) protein, putative",protein coding,Tb05.5K5.240,1,1233,5K5_v5.1:70491..71678(+),"5K5_v5.1:70,446..71,678(+)",N/A
Tb05.5K5.250,Tb05.5K5.250:mRNA,hypothetical protein,protein coding,Tb05.5K5.250,1,546,5K5_v5.1:73416..73871(+),"5K5_v5.1:73,326..73,871(+)",N/A
Tb05.5K5.270,Tb05.5K5.270:pseudogenic_transcript,"expression site-associated gene 9 (ESAG9), frameshift",protein coding,Tb05.5K5.270,1,901,5K5_v5.1:78375..79256(+),"5K5_v5.1:78,356..79,256(+)",N/A
Tb05.5K5.280,Tb05.5K5.280:pseudogenic_transcript,"expression site-associated gene 1 (ESAG1), point mutation",protein coding,Tb05.5K5.280,1,988,5K5_v5.1:82316..83290(+),"5K5_v5.1:82,303..83,290(+)",N/A
Tb05.5K5.290,Tb05.5K5.290:mRNA,hypothetical protein,protein coding,Tb05.5K5.290,1,687,5K5_v5.1:85390..86076(-),"5K5_v5.1:85,390..86,076(-)",N/A
Tb05.5K5.30,Tb05.5K5.30:mRNA,"serine/threonine protein phosphatase, putative",protein coding,Tb05.5K5.30,1,4402,5K5_v5.1:5482..7392(-),"5K5_v5.1:3,300..7,701(-)",N/A
Tb05.5K5.310,Tb05.5K5.310:pseudogenic_transcript,"expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb05.5K5.310,1,1137,5K5_v5.1:89861..90997(-),"5K5_v5.1:89,861..90,997(-)",N/A
Tb05.5K5.40,Tb05.5K5.40:mRNA,"hypothetical protein, conserved",protein coding,Tb05.5K5.40,1,607,5K5_v5.1:8556..8963(-),"5K5_v5.1:8,406..9,012(-)",N/A
Tb05.5K5.420,Tb05.5K5.420:pseudogenic_transcript,"variant surface glycoprotein (VSG, pseudogene), putative",protein coding,Tb05.5K5.420,1,1089,5K5_v5.1:122167..123255(-),"5K5_v5.1:122,167..123,255(-)",N/A
Tb05.5K5.470,Tb05.5K5.470:pseudogenic_transcript,"variant surface glycoprotein, frameshift",protein coding,Tb05.5K5.470,1,1811,5K5_v5.1:138184..139749(-),"5K5_v5.1:137,939..139,749(-)",N/A
Tb05.5K5.500,Tb05.5K5.500:pseudogenic_transcript,"expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb05.5K5.500,1,1032,5K5_v5.1:146132..147163(-),"5K5_v5.1:146,132..147,163(-)",N/A
Tb05.5K5.70,Tb05.5K5.70:mRNA,"nucleolar RNA helicase II, putative",protein coding,Tb05.5K5.70,1,2428,5K5_v5.1:12216..14114(-),"5K5_v5.1:11,904..14,331(-)",N/A
Tb05.5K5.80,Tb05.5K5.80:mRNA,"calcium/calmodulin-dependent protein kinase, putative",protein coding,Tb05.5K5.80,1,1120,5K5_v5.1:15063..16118(-),"5K5_v5.1:15,063..16,182(-)",N/A
Tb05.5K5.90,Tb05.5K5.90:mRNA,"dynein light chain, putative",protein coding,Tb05.5K5.90,1,417,5K5_v5.1:16499..16771(-),"5K5_v5.1:16,499..16,915(-)",N/A
Tb06.3A7.270,Tb06.3A7.270:mRNA,"hypothetical protein, conserved",protein coding,Tb06.3A7.270,1,3408,Tb927_06_v5.1:389986..393393(-),"Tb927_06_v5.1:389,986..393,393(-)",N/A
Tb06.3A7.960,Tb06.3A7.960:mRNA,hypothetical protein,protein coding,Tb06.3A7.960,1,1232,Tb927_06_v5.1:484320..485252(+),"Tb927_06_v5.1:484,268..485,499(+)",N/A
Tb07.11L3.100,Tb07.11L3.100:mRNA,SUMO-interacting motif-containing protein,protein coding,Tb07.11L3.100,1,18277,11L3_v3:30224..34018(-),"11L3_v3:30,224..48,500(-)",N/A
Tb07.11L3.90,Tb07.11L3.90:mRNA,"zinc finger protein family member, putative",protein coding,Tb07.11L3.90,1,5405,11L3_v3:26793..27923(-),"11L3_v3:23,858..29,262(-)",ZC3H18
Tb07.30D13.110,Tb07.30D13.110:pseudogenic_transcript,"hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.110,1,759,Tb927_07_v5.1:2186105..2186863(+),"Tb927_07_v5.1:2,186,105..2,186,863(+)",N/A
Tb07.30D13.130,Tb07.30D13.130:pseudogenic_transcript,"hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.130,1,921,Tb927_07_v5.1:2185049..2185687(+),"Tb927_07_v5.1:2,184,767..2,185,687(+)",N/A
Tb07.30D13.160,Tb07.30D13.160:pseudogenic_transcript,"hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.160,1,1182,Tb927_07_v5.1:2178717..2179475(+),"Tb927_07_v5.1:2,178,294..2,179,475(+)",N/A
Tb07.30D13.180,Tb07.30D13.180:pseudogenic_transcript,"hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.180,1,909,Tb927_07_v5.1:2177548..2178291(+),"Tb927_07_v5.1:2,177,383..2,178,291(+)",N/A
Tb07.30D13.60,Tb07.30D13.60:pseudogenic_transcript,"hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.60,1,1731,Tb927_07_v5.1:2193496..2194254(+),"Tb927_07_v5.1:2,193,496..2,195,226(+)",N/A
Tb07.30D13.80,Tb07.30D13.80:pseudogenic_transcript,"hypothetical protein, conserved (pseudogene)",protein coding,Tb07.30D13.80,1,913,Tb927_07_v5.1:2192294..2193070(+),"Tb927_07_v5.1:2,192,158..2,193,070(+)",N/A
Tb08.27P2.110,Tb08.27P2.110:mRNA,"PAP2 superfamily, putative",protein coding,Tb08.27P2.110,1,2116,Tbrucei.chr8.100:11838..12836(+),"Tbrucei.chr8.100:10,721..12,836(+)",N/A
Tb08.27P2.160,Tb08.27P2.160:pseudogenic_transcript,"expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb08.27P2.160,1,1098,Tbrucei.chr8.100:22974..24068(-),"Tbrucei.chr8.100:22,974..24,074(-)",N/A
Tb08.27P2.400,Tb08.27P2.400:pseudogenic_transcript,"expression site-associated gene 3 (ESAG3), degenerate",protein coding,Tb08.27P2.400,1,1074,Tbrucei.chr8.100:70778..71852(-),"Tbrucei.chr8.100:70,778..71,852(-)",N/A
Tb08.27P2.50,Tb08.27P2.50:mRNA,hypothetical protein,protein coding,Tb08.27P2.50,1,456,Tbrucei.chr8.100:4550..5005(-),"Tbrucei.chr8.100:4,550..5,005(-)",N/A
Tb08.27P2.60,Tb08.27P2.60:mRNA,hypothetical protein,protein coding,Tb08.27P2.60,1,731,Tbrucei.chr8.100:5283..5810(+),"Tbrucei.chr8.100:5,080..5,810(+)",N/A
